Stock,Sector
OFSS,Information Technology
POLICYBZR,Financial Services
PCBL,Chemicals
PGEL,Consumer Durables
PIIND,Chemicals
PNBHOUSING,Financial Services
PNCINFRA,Construction
PTCIL,Capital Goods
PVRINOX,Media Entertainment & Publication
PAGEIND,Textiles
PATANJALI,Fast Moving Consumer Goods
PERSISTENT,Information Technology
PETRONET,Oil Gas & Consumable Fuels
PFIZER,Healthcare
PHOENIXLTD,Realty
PIDILITIND,Chemicals
PEL,Financial Services
PPLPHARMA,Healthcare
POLYMED,Healthcare
POLYCAB,Capital Goods
POONAWALLA,Financial Services
PFC,Financial Services
POWERGRID,Power
PRAJIND,Capital Goods
PREMIERENE,Capital Goods
PRESTIGE,Realty
PNB,Financial Services
RRKABEL,Capital Goods
RBLBANK,Financial Services
RECLTD,Financial Services
RHIM,Capital Goods
RITES,Construction
RADICO,Fast Moving Consumer Goods
RVNL,Construction
RAILTEL,Telecommunication
RAINBOW,Healthcare
RKFORGE,Automobile and Auto Components
RCF,Chemicals
RTNINDIA,Consumer Services
RAYMONDLSL,Textiles
RAYMOND,Realty
REDINGTON,Services
RELIANCE,Oil Gas & Consumable Fuels
RPOWER,Power
ROUTE,Telecommunication
SBFC,Financial Services
SBICARD,Financial Services
SBILIFE,Financial Services
SJVN,Power
SKFINDIA,Capital Goods
SRF,Chemicals
SAGILITY,Information Technology
SAILIFE,Healthcare
SAMMAANCAP,Financial Services
MOTHERSON,Automobile and Auto Components
SAPPHIRE,Consumer Services
SARDAEN,Metals & Mining
SAREGAMA,Media Entertainment & Publication
SCHAEFFLER,Automobile and Auto Components
SCHNEIDER,Capital Goods
SCI,Services
SHREECEM,Construction Materials
RENUKA,Fast Moving Consumer Goods
SHRIRAMFIN,Financial Services
SHYAMMETL,Capital Goods
SIEMENS,Capital Goods
SIGNATURE,Realty
SOBHA,Realty
SOLARINDS,Chemicals
SONACOMS,Automobile and Auto Components
SONATSOFTW,Information Technology
STARHEALTH,Financial Services
SBIN,Financial Services
SAIL,Metals & Mining
SWSOLAR,Construction
SUMICHEM,Chemicals
SUNPHARMA,Healthcare
SUNTV,Media Entertainment & Publication
SUNDARMFIN,Financial Services
SUNDRMFAST,Automobile and Auto Components
SUPREMEIND,Capital Goods
SUVENPHAR,Healthcare
SUZLON,Capital Goods
SWANENERGY,Chemicals
SWIGGY,Consumer Services
SYNGENE,Healthcare
SYRMA,Capital Goods
TBOTEK,Consumer Services
TVSMOTOR,Automobile and Auto Components
TANLA,Information Technology
TATACHEM,Chemicals
TATACOMM,Telecommunication
TCS,Information Technology
TATACONSUM,Fast Moving Consumer Goods
TATAELXSI,Information Technology
TATAINVEST,Financial Services
TATAMOTORS,Automobile and Auto Components
TATAPOWER,Power
TATASTEEL,Metals & Mining
TATATECH,Information Technology
TTML,Telecommunication
TECHM,Information Technology
TECHNOE,Construction
TEJASNET,Telecommunication
NIACL,Financial Services
RAMCOCEM,Construction Materials
THERMAX,Capital Goods
TIMKEN,Capital Goods
TITAGARH,Capital Goods
TITAN,Consumer Durables
TORNTPHARM,Healthcare
TORNTPOWER,Power
TARIL,Capital Goods
TRENT,Consumer Services
TRIDENT,Textiles
TRIVENI,Fast Moving Consumer Goods
TRITURBINE,Capital Goods
TIINDIA,Automobile and Auto Components
UCOBANK,Financial Services
UNOMINDA,Automobile and Auto Components
UPL,Chemicals
UTIAMC,Financial Services
ULTRACEMCO,Construction Materials
UNIONBANK,Financial Services
UBL,Fast Moving Consumer Goods
UNITDSPR,Fast Moving Consumer Goods
USHAMART,Capital Goods
VGUARD,Consumer Durables
DBREALTY,Consumer Services
VTL,Textiles
VBL,Fast Moving Consumer Goods
MANYAVAR,Consumer Services
VEDL,Metals & Mining
VIJAYA,Healthcare
VMM,Consumer Services
IDEA,Telecommunication
VOLTAS,Consumer Durables
WAAREEENER,Capital Goods
WELCORP,Capital Goods
WELSPUNLIV,Textiles
WESTLIFE,Consumer Services
WHIRLPOOL,Consumer Durables
WIPRO,Information Technology
WOCKPHARMA,Healthcare
YESBANK,Financial Services
ZFCVINDIA,Automobile and Auto Components
ZEEL,Media Entertainment & Publication
ZENTEC,Capital Goods
ZENSARTECH,Information Technology
ZYDUSLIFE,Healthcare
ECLERX,Services
